outcome,spec,b,se,pval,n,r2
Overall,nograde,.1350233873450548,.0085914801212695,1.24023367744e-53,3148,.5059842179925167
Overall,grade19,.1364621868073041,.0089468658018394,1.59041754070e-50,2820,.517654348919192
English,nograde,.1235214647782527,.0092313968707992,9.46289236399e-40,3148,.4391520292324146
English,grade19,.1276837393572533,.0097017098197231,1.97586685273e-38,2820,.4476987522721685
Maths,nograde,.1169728429683019,.008550325446505,2.00335180366e-41,3148,.4595387343661826
Maths,grade19,.1172422234368418,.0089165620574616,2.29850758215e-38,2820,.4650998983284912
EBaC,nograde,.1365141015031893,.0102926235614846,4.18647162585e-39,3148,.4852055574777128
EBaC,grade19,.1380704725634356,.010808131927718,2.29210634731e-36,2820,.4943386455627991
Open,nograde,.1580119668602899,.0100599752913514,1.41407267835e-53,3148,.4100376573268227
Open,grade19,.158460766739089,.0105088429929604,1.83458917970e-49,2820,.4208023652319685
