atype,event_t,mean,count
converter,-5,-0.084,135
converter,-4,-0.08322314049586776,121
converter,-3,-0.11072727272727273,165
converter,-2,-0.12268292682926829,246
converter,-1,-0.09632835820895522,335
converter,0,-0.07857938718662953,359
converter,1,-0.03433447098976109,293
converter,2,-0.07429951690821257,207
converter,3,-0.07916167664670659,167
converter,4,-0.05717241379310344,145
converter,5,-0.05041025641025641,195
converter,6,-0.02602040816326531,196
converter,7,-0.02984848484848485,132
converter,8,0.013392857142857142,56
sponsor-led,-5,-0.41619718309859155,71
sponsor-led,-4,-0.44735294117647056,68
sponsor-led,-3,-0.5244715447154472,123
sponsor-led,-2,-0.5379695431472081,197
sponsor-led,-1,-0.5280165289256198,242
sponsor-led,0,-0.4251094890510949,274
sponsor-led,1,-0.3758407079646018,226
sponsor-led,2,-0.33406060606060606,165
sponsor-led,3,-0.31846715328467157,137
sponsor-led,4,-0.27125,136
sponsor-led,5,-0.27375690607734804,181
sponsor-led,6,-0.28537142857142855,175
sponsor-led,7,-0.3088785046728972,107
sponsor-led,8,-0.20906976744186048,43
