table,panel,model,outcome,term,b,se,pval,n,r2,vce
subscores,,joint,overall,z_gs_w1,.0671292819232558,.0827637404786551,.4196589533312602,99,.6358541462900276,hc3
subscores,,joint,overall,z_gs_w2,.1112628493297158,.0395048357755467,.0060813141894483,99,.6358541462900276,hc3
subscores,,joint,overall,z_gs_s1,.1148529960526166,.041916049647152,.0075359483704917,99,.6358541462900276,hc3
subscores,,joint,overall,z_gs_s2,-.000315600273501,.0457843857241405,.9945168197392695,99,.6358541462900276,hc3
subscores,,joint,overall,z_gs_t1,.0002359577070422,.0866302683158173,.9978333937586206,99,.6358541462900276,hc3
subscores,vif,joint,overall,z_gs_w1,5.767372732646967,,,99,,
subscores,vif,joint,overall,z_gs_w2,2.019693421146704,,,99,,
subscores,vif,joint,overall,z_gs_s1,1.930843804702538,,,99,,
subscores,vif,joint,overall,z_gs_s2,2.148175601549227,,,99,,
subscores,vif,joint,overall,z_gs_t1,6.625584823074321,,,99,,
subscores,,joint,english,z_gs_w1,.1137321497871025,.0816999202111429,.1676647877567016,99,.6437543519740401,hc3
subscores,,joint,english,z_gs_w2,.1355357474369346,.0423988606588614,.0019751454511757,99,.6437543519740401,hc3
subscores,,joint,english,z_gs_s1,.1295694348428223,.0379663821260281,.0010013665328839,99,.6437543519740401,hc3
subscores,,joint,english,z_gs_s2,-.0538250823531341,.0481594841341206,.266983589078377,99,.6437543519740401,hc3
subscores,,joint,english,z_gs_t1,-.0534672629344331,.0960191421566533,.5791536638064685,99,.6437543519740401,hc3
subscores,,joint,maths,z_gs_w1,.1150519485069518,.0835480457043895,.1722367327428219,99,.5587556829752212,hc3
subscores,,joint,maths,z_gs_w2,.1077056723048437,.0430901401176307,.0144299548325496,99,.5587556829752212,hc3
subscores,,joint,maths,z_gs_s1,.1057929671361909,.0516817112916344,.0438595425997588,99,.5587556829752212,hc3
subscores,,joint,maths,z_gs_s2,-.0210353378890679,.0487266033435505,.6670914907914591,99,.5587556829752212,hc3
subscores,,joint,maths,z_gs_t1,-.0632810622433792,.0866212712480498,.4671370100772897,99,.5587556829752212,hc3
items,,single,overall,z_it_classroommisbehaviour,.1698461206934703,.0352020312789393,6.09750591729e-06,98,.5316236875548536,hc3
items,,single,overall,z_it_classroomresponse,.1660982262794369,.0394421929382614,.0000628798652282,98,.5214015614185266,hc3
items,,single,overall,z_it_classroomdisruption,.1460716256652066,.0413528968598622,.0006685219959681,98,.4972775247552369,hc3
items,,single,overall,z_it_classroomconcentration,.2041623994359006,.0371528241963025,4.00511764721e-07,98,.5737538839419142,hc3
items,,single,overall,z_it_classroomteacher,.1340963106254724,.0448697467948396,.0036747157602253,97,.4756827396460398,hc3
items,,single,overall,z_it_classroomstudent,.1527543438979302,.050378058853705,.0032186594987541,98,.4874559029779522,hc3
items,,single,overall,z_it_classroommotivation,.1946292033184243,.0442470589880784,.0000313900946041,98,.5389912291125978,hc3
items,,single,overall,z_it_classroomrespectfully,.1820387608829069,.0467451384975011,.0001954955090256,98,.5360185528268758,hc3
items,,single,overall,z_it_classroomnames,.151568231722656,.0370113770770193,.0000958142162652,98,.5044443713308184,hc3
items,,single,overall,z_it_classroompraise,.1642773618758,.0446830710552194,.0004132824816295,98,.5051065880063363,hc3
items,,single,overall,z_it_classroominteractions,.1462349369818711,.0444354564197112,.0014550241344732,98,.4835989515253192,hc3
items,,single,overall,z_it_classroomquestioning,.1652566200271381,.0480019944835862,.0008959586089632,98,.5028890703345053,hc3
items,,single,overall,z_it_classroomverbal,.1533862430446967,.0534141455115726,.0051538931518498,98,.4835397184594384,hc3
items,,single,overall,z_it_classroomdiscussion,.0645656763039334,.0460387394937798,.1644746678149824,97,.4215995144122598,hc3
items,,single,overall,z_it_classroomdifferentiation,.1397369050119684,.052772118590289,.0096516917651106,98,.4733508055377385,hc3
items,,single,overall,z_it_classroomexplanation,.1765944447319784,.0392131546837857,.0000211401173857,98,.5165756371835346,hc3
items,,single,overall,z_it_classroomoutcomes,.2218726123118017,.0401998616591693,3.62210100336e-07,98,.5826183183448825,hc3
items,,single,overall,z_it_classroommethods,.1662119973292598,.0423635278828828,.0001764872290425,98,.5097647167499202,hc3
items,,single,overall,z_it_classroomstructure,.1475928170915221,.0371148829143843,.0001463083322624,98,.4927761701368962,hc3
items,,single,overall,z_it_classroomresource,.1427375426274229,.0416089629178967,.0009322081922138,98,.4906862262392094,hc3
items,,single,overall,z_it_outsidesanction,.1355693017478694,.0441451581123637,.0029041005002139,94,.4762190103347567,hc3
items,,single,overall,z_it_outsidereward,.1201160986609201,.0436326463822407,.007271371595279,95,.4668831828165376,hc3
items,,single,overall,z_it_outsideverbal,.0977832811404321,.054192279718987,.0751869392631754,88,.4518291243414031,hc3
items,,single,overall,z_it_outsidedifferentiation,.0618322600179026,.0618389485089037,.3205780049445395,88,.4281406846247092,hc3
items,,single,overall,z_it_outsidecorridors,.1344232664222764,.0438209868796304,.0029139189150972,96,.4843952105369354,hc3
items,,single,overall,z_it_outsidearrival,.124921794910408,.0456911381473789,.0076455255251404,96,.4681722367874387,hc3
items,,single,overall,z_it_outsidestudents,.1759587260976437,.0389989169898555,.0000209746539371,96,.5228639568830142,hc3
items,,single,overall,z_it_outsidedisplays,.0976850237444267,.0404728116927614,.0180240265736589,95,.4408237891109068,hc3
items,,single,overall,z_it_outsidealignment,.0500191170538529,.0449838004214145,.2694150112403669,95,.4126844115465207,hc3
items,,single,overall,z_it_outsideinteractions,.1278674156818712,.0494000690395161,.0113817816702386,96,.4718682899380925,hc3
items,,single,overall,z_it_outsiderelationships,.1532118029119438,.0371290612520497,.0000863475901693,97,.5002160586064071,hc3
items,,single,overall,z_it_outsidecanteen,.0576116226750615,.0379245286484315,.1325806491648973,95,.4162261882406434,hc3
items,,single,overall,z_it_outsiderecreational,.0938322872212746,.0400667307349636,.0215819774674789,96,.4436042503989953,hc3
typology,gold,interaction,overall,z_gs_warmth_enacted,.150482277011996,.0433412776736161,.0008185696281424,99,.6315790905652499,hc3
typology,gold,interaction,overall,z_gs_strictness_enacted,.1088876533994761,.0417441139568355,.0107636257831865,99,.6315790905652499,hc3
typology,gold,interaction,overall,z_wxs,.0390345654565985,.0349971273886882,.2678748921952262,99,.6315790905652499,hc3
typology,gold,quadrant_adjmean,overall,quad1,.5465935443241854,.0660051698370068,,33,,hc1
typology,gold,quadrant_adjmean,overall,quad2,.141808304625399,.0750392718062551,,16,,hc1
typology,gold,quadrant_adjmean,overall,quad3,.3804291472336997,.0729939332424792,,15,,hc1
typology,gold,quadrant_adjmean,overall,quad4,.0346297987082865,.0576146190805754,,35,,hc1
typology,gold,auth_vs_rest,overall,auth,.4026784478466521,.0884999233862951,.0000174908062545,99,.5584916706215313,hc3
typology,natA,interaction,overall,z_ofsted_llmwarmthscore,.0300926790837685,.0073388226320793,.0000423105379574,3052,.5216670126280925,hc3
typology,natA,interaction,overall,z_ofsted_llmstrictnessscore,.1301296200800477,.0086738465515013,3.89011729965e-49,3052,.5216670126280925,hc3
typology,natA,interaction,overall,z_wxs,.0184866565687763,.0041723287306799,9.72126273411e-06,3052,.5216670126280925,hc3
typology,natA,quadrant_adjmean,overall,quad1,.3510968056743562,.0327402236330968,,90,,hc3
typology,natA,quadrant_adjmean,overall,quad2,.332293927453906,.0235829906410657,,356,,hc3
typology,natA,quadrant_adjmean,overall,quad3,.1667681934693623,.0428770049321911,,57,,hc3
typology,natA,quadrant_adjmean,overall,quad4,-.0520659622252011,.0071771378904419,,2549,,hc3
typology,natA,auth_vs_rest,overall,auth,.2899606755565247,.0338218148953699,1.57703177181e-17,3052,.4632634060339741,hc3
typology,natB,interaction,overall,z_ofsted_llmwarmthscore,.0275197448027414,.0073739818207759,.0001938340359653,2746,.5318453749988682,hc3
typology,natB,interaction,overall,z_ofsted_llmstrictnessscore,.128811860279091,.0087705362195796,4.65201600694e-47,2746,.5318453749988682,hc3
typology,natB,interaction,overall,z_wxs,.0155011234441868,.004516236696293,.0006073667513653,2746,.5318453749988682,hc3
typology,natB,quadrant_adjmean,overall,quad1,.2888458887898122,.0338089848894992,,84,,hc3
typology,natB,quadrant_adjmean,overall,quad2,.2774812299338919,.0240225206774999,,334,,hc3
typology,natB,quadrant_adjmean,overall,quad3,.1738441541696056,.0426155690243565,,54,,hc3
typology,natB,quadrant_adjmean,overall,quad4,-.0221435223313204,.0072228872059696,,2274,,hc3
typology,natB,auth_vs_rest,overall,auth,.2689892027089055,.034017962334854,3.78414527585e-15,2746,.4729882468472617,hc3
gaps,gold_warmth,signed,overall,z_gs_warmth_enacted,.2519315379883298,.0465525570246657,5.66962234015e-07,99,.6048563056871654,hc3
gaps,gold_warmth,signed,overall,sgap,.0469439682082042,.0400678472396773,.2446265607617729,99,.6048563056871654,hc3
gaps,gold_warmth,absolute,overall,z_gs_warmth_enacted,.2233209765400885,.0341371936311318,4.33922575218e-09,99,.5991546314693895,hc3
gaps,gold_warmth,absolute,overall,agap,.0319819112274956,.0463135181776089,.4917282751172295,99,.5991546314693895,hc3
gaps,gold_warmth,absolute_quad,overall,z_gs_warmth_enacted,.2231948518812029,.0364393552487745,2.89794842595e-08,99,.6025923912772355,hc3
gaps,gold_warmth,absolute_quad,overall,agap,.0110099589265001,.0577504185393024,.849267509972649,99,.6025923912772355,hc3
gaps,gold_warmth,absolute_quad,overall,zd2,.0012469042786612,.0163784746319028,.9394983469572571,99,.6025923912772355,hc3
gaps,gold_warmth,absolute_quad,overall,ze2,.0258154486764254,.0471786399847837,.5857198639853045,99,.6025923912772355,hc3
gaps,gold_strictness,signed,overall,z_gs_strictness_enacted,.2356605842413951,.043512235189201,5.57170530131e-07,99,.5888143434367994,hc3
gaps,gold_strictness,signed,overall,sgap,.0646025759137831,.0500489446707852,.2002770527445383,99,.5888143434367994,hc3
gaps,gold_strictness,absolute,overall,z_gs_strictness_enacted,.2007467930313842,.0348661127112045,1.32351570620e-07,99,.5764451315856807,hc3
gaps,gold_strictness,absolute,overall,agap,.0023933298242803,.0608957189473016,.968741694171745,99,.5764451315856807,hc3
gaps,gold_strictness,absolute_quad,overall,z_gs_strictness_enacted,.2000761233501082,.0347817021647576,1.42721940190e-07,99,.5895498491199709,hc3
gaps,gold_strictness,absolute_quad,overall,agap,-.0154768499950525,.0611251637896488,.8007402765136775,99,.5895498491199709,hc3
gaps,gold_strictness,absolute_quad,overall,zd2,.0258303221456615,.0240089015881198,.2851053150902683,99,.5895498491199709,hc3
gaps,gold_strictness,absolute_quad,overall,ze2,.0265364471213453,.0362268077620191,.4659217820979115,99,.5895498491199709,hc3
gaps,nat_bp_warmth,signed,overall,z_ofsted_llmwarmthscore,.0621794381574235,.0094430661129697,5.50943584356e-11,2745,.4886053804180588,cluster
gaps,nat_bp_warmth,signed,overall,sgap,-.0144901350803295,.0070640603256232,.0403441481560208,2745,.4886053804180588,cluster
gaps,nat_bp_warmth,absolute,overall,z_ofsted_llmwarmthscore,.0773705696327581,.0064789559590968,4.97036605931e-32,2745,.4877560387190225,cluster
gaps,nat_bp_warmth,absolute,overall,agap,.0028102952511721,.0068296874203355,.6807532943735802,2745,.4877560387190225,cluster
gaps,nat_bp_warmth,absolute_quad,overall,z_ofsted_llmwarmthscore,.0790383981888934,.0065463070614642,1.09802749823e-32,2745,.4879808160422542,cluster
gaps,nat_bp_warmth,absolute_quad,overall,agap,-.0051455108398141,.010842553742735,.6351364838107466,2745,.4879808160422542,cluster
gaps,nat_bp_warmth,absolute_quad,overall,zd2,.0031508642293488,.0078942263985006,.689826732564069,2745,.4879808160422542,cluster
gaps,nat_bp_warmth,absolute_quad,overall,ze2,.0052462346218792,.0046347503484026,.2577676262146233,2745,.4879808160422542,cluster
gaps,nat_bp_strictness,signed,overall,z_ofsted_llmstrictnessscore,.1289797268454842,.0094958022171464,1.24088023127e-40,2745,.5288515218868313,cluster
gaps,nat_bp_strictness,signed,overall,sgap,-.0067455468809477,.0067606656333773,.3184879892124093,2745,.5288515218868313,cluster
gaps,nat_bp_strictness,absolute,overall,z_ofsted_llmstrictnessscore,.1408462534170199,.0076584272483284,4.66558997126e-71,2745,.5315652462958145,cluster
gaps,nat_bp_strictness,absolute,overall,agap,.0279063616768613,.0076825396232965,.0002862544538861,2745,.5315652462958145,cluster
gaps,nat_bp_strictness,absolute_quad,overall,z_ofsted_llmstrictnessscore,.150461557225683,.0081142253073067,3.89264484045e-72,2745,.5354962150244063,cluster
gaps,nat_bp_strictness,absolute_quad,overall,agap,.0035286063612782,.0104955682406934,.736747795759449,2745,.5354962150244063,cluster
gaps,nat_bp_strictness,absolute_quad,overall,zd2,.004174723121535,.0054051843786535,.4399750874654463,2745,.5354962150244063,cluster
gaps,nat_bp_strictness,absolute_quad,overall,ze2,.0256943477586525,.0054264717374108,2.30965356180e-06,2745,.5354962150244063,cluster
gaps,nat_web_warmth,signed,overall,z_ofsted_llmwarmthscore,.0663622853668072,.0087051097204063,3.38819331051e-14,2743,.4875805009853652,hc3
gaps,nat_web_warmth,signed,overall,sgap,-.0106370665121746,.0063555204398391,.0943093735528417,2743,.4875805009853652,hc3
gaps,nat_web_warmth,absolute,overall,z_ofsted_llmwarmthscore,.0768130793574325,.0065549067961337,5.59325197979e-31,2743,.4871105287307813,hc3
gaps,nat_web_warmth,absolute,overall,agap,-.0002386769865475,.0089524573634893,.9787324679268758,2743,.4871105287307813,hc3
gaps,nat_web_warmth,absolute_quad,overall,z_ofsted_llmwarmthscore,.0788202085901575,.0066587622052342,1.46734481360e-31,2743,.4874605685440224,hc3
gaps,nat_web_warmth,absolute_quad,overall,agap,-.0074171829037823,.0128848171682963,.5648972867860707,2743,.4874605685440224,hc3
gaps,nat_web_warmth,absolute_quad,overall,zd2,-.0017741608118304,.0051456634729567,.7302806658972669,2743,.4874605685440224,hc3
gaps,nat_web_warmth,absolute_quad,overall,ze2,.0054993791040902,.004106686153286,.1806405575726623,2743,.4874605685440224,hc3
gaps,nat_web_strictness,signed,overall,z_ofsted_llmstrictnessscore,.1351700790561871,.0099449241035425,9.21462480000e-41,2743,.5278701282307317,hc3
gaps,nat_web_strictness,signed,overall,sgap,-.0004262859630833,.0066019202867503,.9485211041894422,2743,.5278701282307317,hc3
gaps,nat_web_strictness,absolute,overall,z_ofsted_llmstrictnessscore,.1375286803728342,.0075452140690372,3.85422547160e-70,2743,.5289819863985679,hc3
gaps,nat_web_strictness,absolute,overall,agap,.0209380958607314,.0083330138244645,.01203943313883,2743,.5289819863985679,hc3
gaps,nat_web_strictness,absolute_quad,overall,z_ofsted_llmstrictnessscore,.1504420238475133,.0082637904862721,5.57854300417e-70,2743,.5344635002342961,hc3
gaps,nat_web_strictness,absolute_quad,overall,agap,-.0011539900123869,.0114185618201887,.9195081639555256,2743,.5344635002342961,hc3
gaps,nat_web_strictness,absolute_quad,overall,zd2,-.0040921670283916,.0063850985130661,.5216458445911104,2743,.5344635002342961,hc3
gaps,nat_web_strictness,absolute_quad,overall,ze2,.0270349438097453,.0054424026854336,7.20227935072e-07,2743,.5344635002342961,hc3
parentview,A,web_llmwarmthscore_v18,pv_warmth,z_web_llmwarmthscore_v18,.0015375210258628,.0026656854042605,.5641289851404059,3053,.2388517228072533,hc3
parentview,A_corr,web_llmwarmthscore_v18,pv_warmth,pearson,.0347551457303371,,,3053,,
parentview,A_corr,web_llmwarmthscore_v18,pv_warmth,spearman,.0348487501008353,,.0541915258184619,3053,,
