var,item,subscore,irr_r,irr_pairs
it_classroommisbehaviour,Classroom|Misbehaviour,S1,0.7016954598612496,439
it_classroomresponse,Classroom|Response,S1,0.6693278478676715,277
it_classroomdisruption,Classroom|Disruption,S1,0.7883231176761528,466
it_classroomconcentration,Classroom|Concentration,S1,0.6466902025250062,467
it_classroomteacher,Classroom|Teacher,T1,0.636058193420551,465
it_classroomstudent,Classroom|Student,W1,0.637362394605331,457
it_classroommotivation,Classroom|Motivation,W1,0.6099944640813285,467
it_classroomrespectfully,Classroom|Respectfully,S1,0.6543182970397858,467
it_classroomnames,Classroom|Names,W1,0.6981952574294096,463
it_classroompraise,Classroom|Praise,W1,0.6884571773850682,456
it_classroominteractions,Classroom|Interactions,W1,0.6164655999531107,463
it_classroomquestioning,Classroom|Questioning,T1,0.5846938238738527,468
it_classroomverbal,Classroom|Verbal,T1,0.5616396209254777,454
it_classroomdiscussion,Classroom|Discussion,T1,0.7222514128546315,217
it_classroomdifferentiation,Classroom|Differentiation,T1,0.6367962225457019,437
it_classroomexplanation,Classroom|Explanation,T1,0.5775037338468975,454
it_classroomoutcomes,Classroom|Outcomes,T1,0.61983780053457,432
it_classroommethods,Classroom|Methods,T1,0.551764553338114,467
it_classroomstructure,Classroom|Structure,T1,0.5604067305137309,461
it_classroomresource,Classroom|Resource,T1,0.527517952080816,463
it_outsidesanction,Outside|Sanction,S2,0.7144906971891538,87
it_outsidereward,Outside|Reward,unused,0.8053448569207302,83
it_outsideverbal,Outside|Verbal,unused,0.48504617861928956,76
it_outsidedifferentiation,Outside|Differentiation,unused,0.551655475189196,70
it_outsidecorridors,Outside|Corridors,S2,0.657220248929361,93
it_outsidearrival,Outside|Arrival,S2,0.4738833077246237,91
it_outsidestudents,Outside|Students,W2,0.7049168953662346,93
it_outsidedisplays,Outside|Displays,unused,0.5476332018868665,91
it_outsidealignment,Outside|Alignment,unused,0.5781381802916059,84
it_outsideinteractions,Outside|Interactions,W2,0.6842237023167423,86
it_outsiderelationships,Outside|Relationships,W2,0.7236192072343628,89
it_outsidecanteen,Outside|Canteen,S2,0.7269029649598757,91
it_outsiderecreational,Outside|Recreational,S2,0.5322635123589109,91
