stat,value,n
within_school_sd_mean,0.1961305590404518,3232
within_school_sd_median,0.17660690586288247,3232
within_school_sd_p10,0.08593017592863553,3232
within_school_sd_p90,0.3295860874392128,3232
between_school_sd_2324,0.5445674800848495,3126
share_gt_0.3|2017-2018->2018-2019,0.18971759594496743,2762
share_gt_0.5|2017-2018->2018-2019,0.04489500362056481,2762
share_gt_0.3|2021-2022->2022-2023,0.21946624803767661,3185
share_gt_0.5|2021-2022->2022-2023,0.051491365777080064,3185
share_gt_0.3|2022-2023->2023-2024,0.18490083173384517,3126
share_gt_0.5|2022-2023->2023-2024,0.03134996801023673,3126
share_gt_0.3|pooled,0.19850104706271354,9073
share_gt_0.5|pooled,0.04254381130827731,9073
