spec,outcome,term,b,se,pval,lo,hi,n,r2
stage1,overall,gs_warmth_enacted,.1502920910926914,.044712421727566,.0011801346477149,.0613448408155279,.2392393413698549,96,.6501220540455268
stage1,overall,gs_strictness_enacted,.1298202922685724,.0468298270738424,.0068895938792421,.0366608482430811,.2229797362940637,96,.6501220540455268
stage2,overall,gs_teaching_enacted,.25140039470161,.0521196528158772,6.31801466487e-06,.1477365014941371,.355064287909083,96,.5794156182794497
stage3,overall,gs_warmth_enacted,.1407191166644339,.0634007014186429,.0292474064810744,.0145716081541855,.2668666251746823,96,.6504026961799716
stage3,overall,gs_strictness_enacted,.1258641205506772,.0468155443040752,.0087103304144626,.0327158723236681,.2190123687776863,96,.6504026961799716
stage3,overall,gs_teaching_enacted,.018775974080229,.0815825126269106,.8185577488987839,-.1435476355267851,.1810995836872431,96,.6504026961799716
stage1,english,gs_warmth_enacted,.1765794510755206,.0433819968017406,.0001075312094791,.0902788397921786,.2628800623588626,96,.6381632793783323
stage1,english,gs_strictness_enacted,.086434534542699,.0493691030415805,.0837233637388268,-.0117763382871046,.1846454073725026,96,.6381632793783323
stage2,english,gs_teaching_enacted,.2317333299962087,.0527309815205609,.0000325863977947,.1268535285826533,.3366131314097641,96,.5713878379229808
stage3,english,gs_warmth_enacted,.1863762911405165,.0644953018621947,.0049455388515627,.0580508710980832,.3147017111829498,96,.6384214779112722
stage3,english,gs_strictness_enacted,.0904832220097284,.0499238489792624,.073625911206363,-.0088495775186379,.1898160215380947,96,.6384214779112722
stage3,english,gs_teaching_enacted,-.0192150534305768,.0845625142029411,.8208182363439196,-.1874679314172988,.1490378245561452,96,.6384214779112722
stage1,maths,gs_warmth_enacted,.1176420859039092,.0556668662744582,.0376130350455465,.0069029558064895,.2283812160013289,96,.5377628978499467
stage1,maths,gs_strictness_enacted,.1094053887590098,.0520122726702371,.0384909337842142,.0059364095372598,.2128743679807598,96,.5377628978499467
stage2,maths,gs_teaching_enacted,.2047091429321531,.0598857458515384,.0009787282846971,.0855988030276516,.3238194828366546,96,.4890831599051875
stage3,maths,gs_warmth_enacted,.1070335388140041,.070492938141598,.1328177252243204,-.0332252961066269,.2472923737346351,96,.5381354313628068
stage3,maths,gs_strictness_enacted,.1050212514901212,.057922527514429,.0735155821286456,-.0102264093253943,.2202689123056367,96,.5381354313628068
stage3,maths,gs_teaching_enacted,.0208070967578261,.0954980604381754,.8280707299137074,-.1692040880126722,.2108182815283244,96,.5381354313628068
stage1,ebac,gs_warmth_enacted,.1645370907360921,.057961729125441,.0057082164334017,.049232747383129,.2798414340890552,96,.6123375619856558
stage1,ebac,gs_strictness_enacted,.169058288769996,.0580862865568897,.0046451207102466,.0535061610072227,.2846104165327693,96,.6123375619856558
stage2,ebac,gs_teaching_enacted,.2811262933225921,.0660099976908256,.0000538514312552,.1498350628260846,.4124175238190996,96,.5223037253449283
stage3,ebac,gs_warmth_enacted,.1754280507678121,.0818554491867546,.0351021034856781,.012561383020505,.3382947185151192,96,.6126041505266256
stage3,ebac,gs_strictness_enacted,.1735591373182835,.058991663034966,.0042500563094383,.0561842321796335,.2909340424569335,96,.6126041505266256
stage3,ebac,gs_teaching_enacted,-.0213610079914949,.0992688199751,.8301651702300592,-.2188748214416567,.1761528054586669,96,.6126041505266256
stage1,open,gs_warmth_enacted,.145706583205878,.0586771133953962,.0150595874577258,.0289791126492094,.2624340537625466,96,.5653288484255814
stage1,open,gs_strictness_enacted,.135026983525705,.0646677937514692,.0399001667338719,.0063821413668269,.2636718256845831,96,.5653288484255814
stage2,open,gs_teaching_enacted,.2737240919340302,.0577949280580618,8.88180432694e-06,.1587723045284283,.3886758793396321,96,.5269962757162687
stage3,open,gs_warmth_enacted,.1018694628645757,.075227113112903,.1794516038515538,-.0478088952493128,.2515478209784642,96,.57050928719659
stage3,open,gs_strictness_enacted,.116910652286346,.0658095584345104,.079405415465187,-.0140297260835372,.2478510306562292,96,.57050928719659
stage3,open,gs_teaching_enacted,.0859800307050434,.1029555364742075,.4061077146484001,-.1188691921418556,.2908292535519424,96,.57050928719659
nograde,overall,gs_warmth_enacted,.129645052254346,.0472683815216931,.0073516156871998,.0357381621049259,.2235519424037661,102,.5759302253832668
nograde,overall,gs_strictness_enacted,.1247573708803559,.0468666109260167,.0092009956396018,.0316486681445695,.2178660736161423,102,.5759302253832668
singleyear,overall,gs_warmth_enacted,.1654412763292364,.0461409790238996,.0005701372960128,.0736521705125436,.2572303821459292,96,.6514871542412399
